PassengerId,Sex,Age,SibSp,Parch,family_size,Fare,Embarked,Survived
413,0,33.0,1,0,1,90.0,2,1
430,1,32.0,0,0,0,8.05,0,1
431,1,28.0,0,0,0,26.55,0,1
435,1,50.0,1,0,1,55.9,0,0
436,0,14.0,1,2,3,120.0,0,1
439,1,64.0,1,4,5,263.0,0,0
446,1,4.0,0,2,2,81.8583,0,1
450,1,52.0,0,0,0,30.5,0,1
453,1,30.0,0,0,0,27.75,1,0
454,1,49.0,1,0,1,89.1042,1,1
457,1,65.0,0,0,0,26.55,0,0
461,1,48.0,0,0,0,26.55,0,1
463,1,47.0,0,0,0,38.5,0,0
474,0,23.0,0,0,0,13.7917,1,1
485,1,25.0,1,0,1,91.0792,1,1
487,0,35.0,1,0,1,90.0,0,1
488,1,58.0,0,0,0,29.7,1,0
493,1,55.0,0,0,0,30.5,0,0
497,0,54.0,1,0,1,78.2667,1,1
499,0,25.0,1,2,3,151.55,0,0
505,0,16.0,0,0,0,86.5,0,1
506,1,18.0,1,0,1,108.9,1,0
513,1,36.0,0,0,0,26.2875,0,1
516,1,47.0,0,0,0,34.0208,0,0
517,0,34.0,0,0,0,10.5,0,1
521,0,30.0,0,0,0,93.5,0,1
524,0,44.0,0,1,1,57.9792,1,1
537,1,45.0,0,0,0,26.55,0,0
540,0,22.0,0,2,2,49.5,1,1
541,0,36.0,0,2,2,71.0,0,1
545,1,50.0,1,0,1,106.425,1,0
551,1,17.0,0,2,2,110.8833,1,1
557,0,48.0,1,0,1,39.6,1,1
559,0,39.0,1,1,2,79.65,0,1
572,0,53.0,2,0,2,51.4792,0,1
573,1,36.0,0,0,0,26.3875,0,1
578,0,39.0,1,0,1,55.9,0,1
582,0,39.0,1,1,2,110.8833,1,1
584,1,36.0,0,0,0,40.125,1,0
586,0,18.0,0,2,2,79.65,0,1
588,1,60.0,1,1,2,79.2,1,1
592,0,52.0,1,0,1,78.2667,1,1
600,1,49.0,1,0,1,56.9292,1,1
610,0,40.0,0,0,0,153.4625,0,1
619,0,4.0,2,1,3,39.0,0,1
622,1,42.0,1,0,1,52.5542,0,1
626,1,61.0,0,0,0,32.3208,0,0
628,0,21.0,0,0,0,77.9583,0,1
631,1,80.0,0,0,0,30.0,0,1
633,1,32.0,0,0,0,30.5,1,1
642,0,24.0,0,0,0,69.3,1,1
646,1,48.0,1,0,1,76.7292,1,1
648,1,56.0,0,0,0,35.5,1,1
660,1,58.0,0,2,2,113.275,1,0
663,1,47.0,0,0,0,25.5875,0,0
672,1,31.0,1,0,1,52.0,0,0
680,1,36.0,0,1,1,512.3292,1,1
682,1,27.0,0,0,0,76.7292,1,1
690,0,15.0,0,1,1,211.3375,0,1
691,1,31.0,1,0,1,57.0,0,1
699,1,49.0,1,1,2,110.8833,1,0
700,1,42.0,0,0,0,7.65,0,0
701,0,18.0,1,0,1,227.525,1,1
702,1,35.0,0,0,0,26.2875,0,1
708,1,42.0,0,0,0,26.2875,0,1
711,0,24.0,0,0,0,49.5042,1,1
713,1,48.0,1,0,1,52.0,0,1
716,1,19.0,0,0,0,7.65,0,0
717,0,38.0,0,0,0,227.525,1,1
718,0,27.0,0,0,0,10.5,0,1
725,1,27.0,1,0,1,53.1,0,1
731,0,29.0,0,0,0,211.3375,0,1
738,1,35.0,0,0,0,512.3292,1,1
742,1,36.0,1,0,1,78.85,0,0
743,0,21.0,2,2,4,262.375,1,1
746,1,70.0,1,1,2,71.0,0,0
749,1,19.0,1,0,1,53.1,0,0
752,1,6.0,0,1,1,12.475,0,1
760,0,33.0,0,0,0,86.5,0,1
764,0,36.0,1,2,3,120.0,0,1
766,0,51.0,1,0,1,77.9583,0,1
773,0,57.0,0,0,0,10.5,0,0
780,0,43.0,0,1,1,211.3375,0,1
782,0,17.0,1,0,1,57.0,0,1
783,1,29.0,0,0,0,30.0,0,0
790,1,46.0,0,0,0,79.2,1,0
797,0,49.0,0,0,0,25.9292,0,1
803,1,11.0,1,2,3,120.0,0,1
807,1,39.0,0,0,0,0.0,0,0
810,0,33.0,1,0,1,53.1,0,1
821,0,52.0,1,1,2,93.5,0,1
824,0,27.0,0,1,1,12.475,0,1
836,0,39.0,1,1,2,83.1583,1,1
854,0,16.0,0,1,1,39.4,0,1
858,1,51.0,0,0,0,26.55,0,1
863,0,48.0,0,0,0,25.9292,0,1
868,1,31.0,0,0,0,50.4958,0,0
872,0,47.0,1,1,2,52.5542,0,1
873,1,33.0,0,0,0,5.0,0,0
880,0,56.0,0,1,1,83.1583,1,1
888,0,19.0,0,0,0,30.0,0,1
890,1,26.0,0,0,0,30.0,1,1
